野菜の名前,性格や人間性,向いている職業1,向いている職業2,向いている職業3,A (外向),H (頑固),S (刺激), 詳細ID, 育て方のコツ, おすすめ商品キーワード
モロヘイヤ,圧倒的な生命力とバイタリティを誇る「王様」タイプ。どんなに疲れていても一晩寝れば回復する驚異のスタミナを持っています。周囲の毒素を浄化するような包容力があり、あなたと一緒にいるだけで周りの人は元気をもらえます。一見地味ですが、付き合うほどにその価値がわかる「スルメ系」ならぬ「ネバネバ系」の深みがあります。,医療従事者,フィットネストレーナー,農業経営者,4.1,1.9,5.9,moroheiya,暑さに非常に強く、真夏にグングン育ちます。草丈が50cmほどになったら芯を止め、次々と出てくる脇芽の先（柔らかい葉）を収穫し続けることで、秋まで長く楽しめます。,モロヘイヤ 種 栄養満点
大根,どんな相手や環境にも自然に馴染む、圧倒的な包容力の持ち主です。煮込めば味が染み、生ならピリリと辛い。相手の良さを引き立てる「名脇役」ですが、実は消化を助ける（問題を解決する）実力派。白く清廉潔白なイメージ通り、嘘がつけない正直者です。派手さはありませんが、組織の土台を支える不可欠な存在として信頼を集めます。,人事担当,カウンセラー,一般事務,3.4,8.3,8.5,daikon,深く耕した柔らかい土が必須。石や塊があると二股になるので注意。種まき後に「間引き」を段階的に行い、最後の一本を大きく育てるのが基本です。,大根 栽培袋 深型
にんじん,彩り豊かで華やかな印象を与えますが、実は非常に芯が強く、栄養（知識）が詰まった努力家です。最初は少し硬い（警戒心が強い）印象を与えますが、付き合うほどに甘み（優しさ）が増していくスルメ系ならぬ根菜系性格。βカロテンのように視界が広く、先を見通す力を持っています。健康志向で、自分磨きを怠らないストイックな一面も。,栄養士,図書館司書,アナウンサー,2.7,3.5,2.3,carrot,発芽までが最大の難関。種まき後は土を乾かさないよう、不織布などで覆いをして管理します。芽が出た後は段階的に間引きを行い、株間を広げて根を太らせるスペースを確保します。,にんじん 栽培容器 深型
ごぼう,細長い体型に似合わず、非常にタフで粘り強い性格です。土（ルーツ）を大切にし、伝統や古くからの友人を重んじる古風な一面も。食物繊維が豊富なように、余計なものを削ぎ落とし、本質だけで勝負しようとする硬派な気質を持っています。少しアクが強いと言われることもありますが、その深みのある渋みが、玄人好みの魅力として愛されます。,歴史研究家,庭師,伝統芸能の演者,8.2,6.9,1.2,burdock,深い土が必要なため、波板栽培や袋栽培がおすすめ。連作障害が出やすいため、一度作った場所は数年空けるのが理想です。地中深く育つため、収穫時は折らないよう慎重に掘り進めます。,ごぼう 栽培袋 ロング
さつまいも,ホクホクとした温かい心の持ち主で、一緒にいるだけで周囲をリラックスさせる癒やし系です。じっくり時間をかけて物事に取り組むことで、最大の成果（甘み）を発揮する大器晩成型。見た目は少し無骨ですが、中身は驚くほどスイート。貯蔵するほど甘みが増すように、経験を積むごとに人間的な深みが出て、年齢を重ねるほどモテるタイプです。,介護福祉士,陶芸家,和菓子職人,7.2,5.4,5.1,sweet-potato,肥料が多すぎると葉ばかり茂る「つるボケ」を起こします。痩せた土の方が甘い芋が育つため、元肥は控えめに。収穫後、2週間ほど日陰で干すとデンプンが糖に変わり甘みが増します。,さつまいも 苗 紅はるか
じゃがいも,どんな料理にも変身できる変幻自在のマルチプレイヤーです。素朴で親しみやすく、老若男女問わず誰からも好かれます。芽（才能）を出す場所を間違えると毒になるという危うさも持っていますが、基本的には地面の下で着実に成果を蓄える実務家タイプ。厳しい環境（寒冷地）でも生き抜く強い生命力を持ち、サバイバル能力は随一です。,地方公務員,プログラマー,DIYクリエイター,5.8,2.9,1.6,potato,種芋を植え付け、芽が出てきたら元気なものを2本ほど残して他を抜く「芽かき」が重要。土寄せをしっかり行わないと、芋が日光に当たって緑色（毒素）になるので注意です。,じゃがいも 種芋 栽培キット
レンコン,先を見通す「穴」が開いているように、洞察力が非常に高く、計画性に優れた戦略家です。泥の中にいながらも清らかな花を咲かせる精神性の高さを持っており、困難な状況でも決して自分を見失いません。粘り気が強く、一度始めたことは途中で投げ出さない責任感の塊。複数の視点（穴）から物事を多角的に分析するのが得意です。,コンサルタント,建築設計士,検察官,4.8,9.8,8.3,lotus-root,水生植物なので、常に水がある環境（水蓮鉢や大型の樽）が必要。粘土質の土を使い、肥料を切らさないようにします。冬に水を抜かずに管理すると、翌春にまた芽吹きます。,レンコン 苗 栽培セット
里芋,ネットリとした独特の粘り気があり、非常に家族思いで仲間意識が強いタイプです。「親芋・子芋・孫芋」と連なるように、人との繋がりを何よりの財産と考えます。一見すると地味で殻に閉じこもりがちですが、皮をむけば真っ白で純粋な心の持ち主。チームの団結力を高めるための「糊（のり）」のような役割を果たすのが得意です。,コミュニティマネージャー,保育士,家計再生コンサルタント,2.5,4.3,3.9,taro,湿り気のある土を好み、乾燥を嫌います。夏場は株元にたっぷり水をやり、敷きわらで保湿します。「土寄せ」を繰り返すことで、親芋の周りに子芋がたっぷりつきます。,里芋 種芋 土寄せ 肥料
かぶ,キメが細かく、非常に上品で育ちの良い雰囲気を持っています。短期間で成長するスピード感を持ちながら、中身は非常にデリケート。無理に押し通すと割れてしまう脆さもありますが、その「儚さ」が周囲の守ってあげたい欲求を刺激します。伝統を重んじる心と、新しい環境にスッと馴染む柔軟性を併せ持っています。,茶道家,受付事務,商品企画,2.8,1.1,5.1,turnip,成長が早く、家庭菜園向き。本葉が出始めたら間引きを行い、株間を確保します。アブラムシや青虫がつきやすいため、防虫ネットでトンネル栽培するのが最も綺麗に育てるコツです。,かぶ 種 育てやすい
山芋,「山の薬」と言われるほど高いエネルギーを秘めており、周囲に活力を与えるエナジャイザーです。すりおろされる（追い込まれる）と、驚異的な粘りと爆発力を発揮し、不可能を可能にします。掴みどころがないミステリアスな性格で、一筋縄ではいかない面白さがあります。強烈な個性を持ちながら、実は他者の良さを増幅させる触媒のような人です。,スポーツインストラクター,起業家,発明家,5.4,5.2,7,yam,深いプランターや波板（トタン板）を斜めに埋めて育てると、収穫が劇的に楽になります。非常に長く育つため、支柱を高く立ててつるをしっかり伸ばしてあげることが収穫量アップの鍵。,山芋 種芋 栽培袋
ビーツ,鮮やかな赤紫色が象徴するように、情熱的でアーティスティックな感性の持ち主です。普通の野菜とは一線を画す「食べる輸血」的なインパクトがあり、どこにいても目立ちます。土臭さと甘さが共存するように、泥臭い努力を厭わない一方で、ロマンチックな夢を追い続ける二面性が魅力。グローバルな視点を持ち、異文化交流などで才能を開花させます。,デザイナー,海外コーディネーター,ソムリエ,1.1,2.9,5.4,beets,ほうれん草と同じヒユ科で、酸性の土を嫌います。苦土石灰で土壌を調整しておくのがポイント。一箇所から数本の芽が出るので、早めに一本に間引くと根が綺麗な球体に太ります。,ビーツ 種 栄養豊富
にんにく,圧倒的な存在感とスタミナを誇る、チームの起爆剤です。一度関わると忘れられない強烈なインパクトを残し、周囲のやる気をブーストさせる天性のリーダー気質。ただし、自己主張が強すぎて「時と場所を選んでほしい」と思われることも。隠しきれない情熱と、誰にも負けない底力で、逆境を跳ね返すパワーを持っています。,現場監督,営業プロデューサー,格闘技プロモーター,2.9,8,8.1,garlic,秋に1片ずつばらして植え付け、追肥と中耕を繰り返して冬を越します。5月頃に出る「ニンニクの芽」を摘み取ると、栄養が下の球に行き渡り、大粒で香りの強いにんにくが収穫できます。,にんにく 肥料 専門用
生姜（しょうが）,ピリリと辛い毒舌家ですが、実は冷え切った場を温める気遣いの人です。物事の本質を突く鋭い一言を放ちますが、それは相手を思ってのカンフル剤。新陳代謝を促すように、古い組織や習慣を壊して新しく作り直す改革者の素質があります。内側に熱い思いを秘めた、芯から温かい「熱血ツンデレ」タイプです。,経営再建コンサルタント,批評家,外科医,3.3,7.2,9.8,ginger,4月?5月の十分温かくなった時期に種生姜を植えます。乾燥を嫌うため、土の表面に敷きわらをし、夏場は毎日たっぷり水やりを。秋に「新ショウガ」として収穫するのが楽しみな野菜です。,種生姜 大生姜 栽培キット
パクチー,好き嫌いが真っ二つに分かれる、究極の「唯一無二」キャラ。万人受けは狙わず、自分を理解してくれる人だけを徹底的に愛し、愛されます。異国の風を感じさせる自由奔放な感性を持ち、常識の枠に収まりません。強烈な個性がハマる場所では神様のように崇められる、カリスマ性の塊のような人物です。,ファッションデザイナー,バックパッカー,現代アーティスト,2.4,3.4,8.4,coriander,直根性で植え替えに弱いため、プランターに直接種をまきます。種は硬いので、軽く割ってから一晩水につけると発芽率が上がります。花が咲くと葉が硬くなるので、早めに収穫を。,パクチー 種 育てやすい
玉ねぎ,何枚皮を剥いても本当の自分を見せない、ミステリアスな戦略家。一見地味ですが、どんな環境（料理）にも必須とされる高い汎用性を持ちます。普段はツンとしていますが、時間をかけて向き合う（加熱する）と、驚くほどの甘みと優しさを見せる努力家。涙もろい一面もあり、他人の痛みにも敏感に反応する共感能力を持っています。,スパイ,脚本家,心理カウンセラー,5.2,9.8,7.8,onion,秋に苗を植え、冬を越して初夏に収穫します。冬の間は追肥（肥料）を忘れずに。葉が自然に倒れてきたら収穫のサインです。風通しの良い日陰で吊るしておくと長期保存が可能です。,玉ねぎ 苗 セット 貯蔵用
長ねぎ,シュッとした立ち姿の通り、公明正大で筋の通った性格です。泥を被って育つことで白さ（純粋さ）を増す苦労人。和洋中どこへ行っても重宝される順応性がありながら、薬味としての「キレ」を忘れない仕事人です。上下関係を重んじ、組織の調整役として立ち回るのが非常に上手い、頼れる兄貴・姉御肌です。,政治家,裁判官,プロジェクトマネージャー,8.6,9.5,1.4,green-onion,成長に合わせて何度も「土寄せ（軟白栽培）」を行うのが、白い部分を長く美味しく育てる最大のコツです。水はけの良い土を好み、土が湿りすぎると根腐れしやすいので注意。,長ねぎ 苗 栽培袋
大葉（しそ）,和の心と繊細な感性を持つ、上品な和風美人タイプ。主役を張るより、そっと寄り添うことで全体の質を一段階上げる「究極のおもてなし」精神の持ち主です。殺菌作用があるように、場の淀んだ空気を浄化する清涼感があります。細かい変化に気づくアンテナが鋭く、サービス精神旺盛な気配りの達人です。,秘書,客室乗務員,茶道家,1.6,7.2,9,shiso,こぼれ種でも増えるほど丈夫。乾燥に弱いので、水切れに注意すれば半日陰でもグングン育ちます。次々と出てくる脇芽を摘み取ることで、新しい柔らかい葉を長く収穫できます。,大葉 青じそ 栽培セット
ミョウガ,「食べると物忘れをする」という迷信があるほど、俗世を忘れさせる独特の浮世離れした雰囲気を持っています。短期間しか現れない旬のように、掴みどころがない自由人。シャキシャキとした軽快なフットワークと、鼻に抜ける爽やかな感性で、重苦しい空気を一瞬で変える天才的な「逃げ」の美学を持っています。,詩人,コピーライター,フリーランス,7.6,7.2,5.6,myoga,直射日光の当たらない、湿り気のある日陰を好みます。一度植えれば数年は収穫可能。夏から秋にかけて土の中からひょっこり顔を出す「花苞」を収穫します。庭の隅でも育てやすい。,ミョウガ 苗 根株
セロリ,独特の香りと歯ごたえを持つ、好き嫌いの分かれる都会派。非常にアクティブで、食物繊維のように「滞り」を嫌うストレートな性格です。少しクセがありますが、健康や美容への意識が高く、自分を高めるための投資を惜しみません。自分に合うコミュニティを見つければ、最強のスパイスとして輝きを放ちます。,ヨガインストラクター,美容業界人,バイヤー,6.6,9.8,1,celery,水分と肥料が大好きで、非常に食いしん坊な野菜です。土を常に湿らせた状態に保ち、定期的に追肥を行います。病害虫を防ぐため、風通しの良い場所で株間を広めにとって管理します。,セロリ 苗 栽培キット
バジル,太陽の光を浴びて輝く、陽気で社交的なイタリアン・マインドの持ち主。周囲を華やかにする力があり、あなたの存在だけで場が「パーティー」のような明るさに包まれます。香りが高く、記憶に残りやすい華やかな魅力がありますが、実は害虫（悪い人）を寄せ付けない強さも持っている、賢い社交家です。,イベントコンパニオン,ウェディングプランナー,イタリアンシェフ,1.3,7.1,2,basil,20度以上の気温を好み、夏に爆発的に成長します。先端を摘み取る（摘心）ことで枝分かれが促進され、収穫量が増えます。花が咲くと葉の香りが落ちるため、蕾のうちに摘み取ります。,スイートバジル 苗 肥料
わさび,普段は控えめで静かですが、ここぞという時に「ツーン」とくる鼻の効いた行動をとる、一匹狼の実力者。綺麗な水（環境）でしか育たない気高さと、一切の妥協を許さないストイックさを持っています。媚びを売ることはありませんが、その一分の隙もない仕事ぶりで、プロフェッショナルな人々から絶大な信頼を勝ち取ります。,品質管理責任者,職人,孤高の作家,3.6,1.9,2.9,wasabi,本来は清流が必要ですが、家庭ではプランターで「畑わさび」として育てられます。直射日光を避け、常に湿った涼しい場所で管理。2年ほどかけてじっくり根茎を太らせていきます。,畑わさび 苗 栽培セット
ブロッコリー,非常に堅実で、自分の中に確固たる信念を詰め込んだ「情報の塊」のような人です。小さなつぼみが集まっているように、細かい配慮や知識を積み重ねて成果を出します。栄養価（ポテンシャル）が非常に高く、筋トレや自己研鑽を欠かさないストイックな努力家です。見た目のゴツさに反して、実はとても繊細で温かい心の持ち主です。,データアナリスト,パーソナルトレーナー,システムエンジニア,5.4,2,7.9,broccoli,頂芽（メインの蕾）を収穫した後も、横から出てくる「側蕾芽」を次々と収穫できるお得な野菜です。青虫がつきやすいため、防虫ネットで隙間なく覆うのが成功の絶対条件です。,ブロッコリー 苗 防虫ネット
キャベツ,どっしりとした安定感があり、誰からも信頼される「組織の要」です。何枚もの層（経験）を重ねることで自分を成長させる慎重派。生でも煮ても焼いても良しという柔軟な対応力を持ち、どんなコミュニティにも自然と溶け込みます。一見すると平凡に見えるかもしれませんが、いざという時に最も頼りになる、懐の深い人物です。,行政書士,人事部長,店舗マネージャー,6.3,6,3.5,cabbage,結球（葉が丸まる）させるには、初期にしっかり葉を大きく育てることが重要。外葉を虫に食われないよう、種まき直後から不織布などでガードします。肥料と水のバランスが大切です。,キャベツ 苗 育てやすい品種
カリフラワー,キャベツやブロッコリーに近い親戚ですが、より洗練された「美学」を持つクリエイター気質です。白く整った姿を維持しようとする、非常に几帳面で美意識の高い性格。他人の色に染まりやすい（味の吸収が良い）一方で、自分自身のフォルム（芯）は決して崩さない、独自のスタイルを貫く美学を持っています。,インテリアコーディネーター,校正者,美術館学芸員,3.5,1.9,9.7,cauliflower,ブロッコリーと違い、一度収穫したら終わり。白い蕾（花蕾）に直射日光が当たると黄色くなるため、外葉を折り曲げて蕾を包む「遮光」を行うと、真っ白で綺麗なカリフラワーが育ちます。,カリフラワー 苗 育てやすい
白菜,圧倒的なキャパシティと包容力を誇る、冬のリーダー。冷え込む（厳しい）環境になるほど甘みと深みが増す「逆境に強い」タイプです。水分量（感情）が豊かで、涙もろく情に厚い一面も。どんな強い個性（味）の相手でも丸ごと受け止めてしまうため、悩み相談をされることが多い「みんなのお母さん・お父さん」的存在です。,福祉施設職員,民生委員,旅館の女将,1.1,2.7,8,napa-cabbage,結球（葉が重なる）させるには、初期に外葉を大きく育てることが重要。寒さに当たると甘みが増しますが、凍結を防ぐため、冬場は外葉を紐で縛る「頭縛り」をすると品質が保てます。,白菜 種 育てやすい品種
小松菜,飾らない素朴さと、どんな環境でもスクスク育つ強い適応力を持っています。ほうれん草ほどの「アク」がなく、誰とでもフラットに付き合える社交性の高さが魅力です。鉄分（意志）が強く、一度決めたことは淡々とこなす実務能力に長けています。派手な成功よりも、日々の安定した幸せを大切にする、地に足のついた性格です。,地方銀行員,小学校教師,カスタマーサポート,9,3.2,1.5,mustard-spinach,成長が非常に早く、年間通して栽培可能。種まき後、本葉が出たら混み合った場所を間引くだけでOK。初心者でも失敗が少なく、ベランダのプランター栽培にも最適な優等生です。,小松菜 栽培セット プランター
チンゲンサイ,ツヤのある洗練された外見と、シャキッとした潔い決断力を持つ「デキる人」です。熱を加えても形が崩れないように、プレッシャーのかかる場面でも冷静さを失わず、スマートに仕事をこなします。無駄を嫌い、効率的に物事を進めることを好む合理主義者。それでいて、根元にどっしりとした安定感があるため、部下からの信頼も厚いです。,外資系企業社員,経営コンサルタント,法律事務所スタッフ,6.2,3.5,3.7,bok-choy,暑さ・寒さに比較的強く、年中育てられます。株元がふっくらと膨らんできたら収穫のサイン。アブラムシがつきやすいため、防虫ネットで保護し、風通しを良くして育てます。,チンゲンサイ 種 栽培キット
ケール,「野菜の王様」と呼ばれるにふさわしい、圧倒的なカリスマ性とストイックさを持っています。少しクセがありますが、その分、健康や理想に対する意識は人一倍高いです。流行に敏感で、常に自分をアップデートし続ける意識高い系。最初は敬遠されることもありますが、一度その実力が認められると、絶対的な信奉者を生むタイプです。,ライフスタイルコーチ,起業家,インフルエンサー,6.8,1.2,2.7,kale,「野菜の王様」と呼ばれるほど強健。下から出た大きな葉から順にかき取って収穫する「かき取り収穫」をすれば、1株で数ヶ月間、新鮮な青汁の材料を収穫し続けられます。,ケール 苗 栄養豊富
ラディッシュ（二十日大根）,短期間で結果を出す、驚異のスピード感と可愛らしさを併せ持っています。二十日で育つように、決断から行動までが非常に早く、チャンスを逃しません。白と赤のコントラストが美しいように、オンとオフの切り替えがハッキリしています。小ぶりながらもピリリとした主張を忘れない、愛される「小さな実力者」です。,スタートアップ創業者,PR会社勤務,デイトレーダー,9.1,2,2.1,radish,別名「二十日大根」。名前の通り約1ヶ月で収穫できるため、子供との栽培にも最適。土が乾燥すると根が割れる（裂果）ため、適度な水やりを欠かさないのが美しく育てるコツ。,二十日大根 栽培キット 子供
芽キャベツ,小さな体に、通常のキャベツ数倍分のエネルギーと情報を凝縮した「超効率重視」の人です。無駄なことはせず、必要なことだけをギュッと詰め込んで行動します。見た目は可愛らしいですが、中身は非常にドライで現実的。狭いコミュニティの中で、特定の分野を極めることで誰にも負けない専門性を発揮するスペシャリストタイプです。,研究職,時計職人,プログラマー,9.7,9.9,1.5,brussels-sprouts,茎の側面に小さなキャベツが鈴なりに実ります。下の方の葉をこまめに摘み取る「葉かき」を行うことで、実に日光と栄養が行き渡り、硬く締まった良い芽キャベツになります。,芽キャベツ 苗 鈴なり
春菊,独特の香りと強い個性を持つ、アーティスティックな感性の持ち主。周囲に合わせるのは苦手ですが、その「アク（個性）」こそが最大の武器。冬の寒さに耐える強靭な精神力を持ち、一度好きになったものには深くのめり込むマニアックな気質があります。独特の存在感で、その場にいるだけで雰囲気を一変させる力を持っています。,音楽家,占い師,特殊造形作家,8.6,1.1,9.1,garland-chrysanthemum,摘み取りながら収穫する「摘み取り型」がおすすめ。草丈が20cmほどになったら主茎をカット。そこから出る脇芽を次々と収穫することで、一株から長期間収穫を楽しめます。,春菊 種 育てやすい
そら豆,ふかふかの「さや」に守られて育つお坊っちゃま・お嬢様気質ですが、中身は非常に大粒で存在感があります。ゆったりとした余裕を感じさせる性格で、争い事を嫌う平和主義者。独自の哲学を持っており、一度打ち解けると非常に深い知恵を授けてくれる、精神的な支柱となるタイプです。,住職,大学教授,茶道家,4.1,1.1,5.7,fava-bean,秋に種をまき、冬を越して初夏に収穫します。アブラムシが新芽につきやすいため、春先に芽の先端を摘む「摘心」を行うと、虫除けと実の太りを両立させることができます。,そら豆 苗 栽培セット
さやえんどう,若々しくフレッシュな感性を持ち、フットワークが非常に軽い人です。中身（実）がまだ未熟なうちから表舞台で活躍する「早熟の天才」タイプ。見た目の通りスマートで、無駄のない洗練された立ち振る舞いを得意とします。どんな環境にもシャキッと対応できる順応性の高さが魅力です。,広報,スタイリスト,モデル,4.8,6.4,6.1,snow-peas,つるが伸びるため支柱やネットが必須。乾燥に弱いため、株元にマルチング（敷きわら等）をすると良いです。花が咲いた後の若いうちに収穫するのが、柔らかく味わう秘訣。,さやえんどう ネット 支柱
スナップエンドウ,「さや」の食べ応えと「豆」の甘さを両立させた、いいとこ取りの欲張りさん。非常にポジティブで、周囲の期待に応えつつ自分もしっかり楽しむエンターテイナーです。パリッとした決断力と、噛めば噛むほど出てくる人間味が同居しており、あなたの周りには常に笑顔が絶えません。,営業職,ツアープランナー,司会者,8.1,9,1,snap-peas,サクサクした食感が魅力。さやえんどう同様、つるをしっかり誘引して育てます。豆がぷっくりと膨らみ、さやにツヤが出てきた頃が最高の収穫タイミングです。,スナップエンドウ 苗 セット
インゲン豆,すらりと細長く、礼儀正しい優等生タイプです。一年に三度収穫できる（三度豆）と言われるほどの働き者で、何事もソツなくこなす万能型。上下関係を重んじ、組織の規律を守ることに安心感を覚えます。派手さはありませんが、その安定した仕事ぶりは「縁の下の力持ち」として高く評価されます。,地方公務員,秘書,品質管理員,7.1,8.5,1,green-beans,「つるあり」と「つるなし」がありますが、狭い場所ならつるなしが楽。肥料（窒素）のやりすぎは「つるボケ」の原因になるので控えめに。真夏の猛暑時は水切れに注意が必要です。,インゲン豆 種 育てやすい
大豆（だいず）,「畑のお肉」と呼ばれる通り、圧倒的な実力と汎用性を誇る万能の天才。醤油・豆腐・納豆と姿を変えるように、どんな環境でも自分を最適化して成果を出します。教育熱心で、後輩や部下を育てる才能は随一。あなたの教えを受けた人は、皆それぞれの分野で花開くという、まさに「育みの神」のような存在です。,経営者,教師,コーチングプロ,3.1,9.9,3.4,soybeans,枝豆と同じ植物ですが、茶色く枯れるまで待ってから収穫するのが大豆です。カメムシの被害を防ぐため、ネット栽培を推奨。収穫後は数日間、天日干しして脱穀します。,大豆 栽培セット 自家製納豆
ひよこ豆,ほっこりとした愛嬌のある見た目で、異国情緒あふれる独特のセンスの持ち主。ホクホクとした優しい性格ですが、芯にはしっかりとした「自分」を持っています。流行に流されず、自分の好きな世界観（カルチャー）を大切にするため、特定のコミュニティで絶大な支持を受けるサブカル系リーダーです。,カフェオーナー,イラストレーター,雑貨バイヤー,8.1,9.4,5.3,chickpea,乾燥と日光を非常に好みます。日本の多湿な夏は苦手なため、水はけの良い土を選び、雨が続くときは軒下に避難させるのがコツ。プランターでも可愛らしい白い花と実を楽しめます。,ひよこ豆 種 栽培キット
